Time (s),Jitter
0.170279024,-1.00988767e-05
0.170774279,-9.33529441e-06
0.17087068,-6.72695865e-06
0.171053211,3.6699621e-05
0.171152555,-6.63617603e-06
0.171299021,-1.00877221e-05
0.171392814,-2.18527766e-05
0.171447847,-8.8738482e-06
0.171600225,-6.24217025e-06
0.1718615,-6.50617741e-06
0.172066175,3.87742468e-05
0.172840136,-9.16651969e-06
0.172928594,3.73317866e-05
0.173057019,-7.08355383e-06
0.17345072,-6.77128608e-06
0.173520329,-8.36907989e-06
0.173606234,-8.26301531e-06
0.173680091,-2.10933543e-05
0.173709971,-7.9636779e-06
0.173786732,-7.71431586e-06
0.173878637,-8.60788207e-06
0.174145913,-6.87156298e-06
0.174459085,-1.00274379e-05
0.174561931,-2.18462286e-05
0.174698104,-6.00980411e-06
0.174849785,-9.6781437e-06
0.174863274,3.8787181e-05
0.175085004,-6.93248669e-06
0.175374032,-7.94694654e-06
0.175514746,-7.64977415e-06
0.175664068,3.99823428e-05
0.175797645,-6.58577946e-06
0.175977239,-8.16802078e-06
0.176043648,-8.56579906e-06
0.176101201,-7.10932549e-06
0.176395125,-8.01977814e-06
0.176725089,-9.96792567e-06
0.176931548,3.35362451e-05
0.177221951,-9.85206802e-06
0.177566691,-7.57908806e-06
0.177635332,-6.21173689e-06
0.177727789,-7.65868408e-06
0.177998377,3.47163285e-05
0.178261364,-7.2591112e-06
0.17875977,-9.64774754e-06
0.179088326,-7.19128721e-06
0.179258912,-8.76498757e-06
0.179826576,-9.40994304e-06
0.179847624,2.65109773e-05
0.180374366,-8.21540282e-06
0.18052852,-8.35762782e-06
0.180651138,3.69831675e-05
0.180783987,-8.85450048e-06
0.180850458,-2.12991353e-05
0.180928381,-9.21095343e-06
0.181091879,-9.69567939e-06
0.181092839,3.92993008e-05
0.181284338,-7.18898329e-06
0.181465716,-8.55507011e-06
0.181529941,-6.77123304e-06
0.181821712,-6.53168196e-06
0.182093668,-9.47274346e-06
0.182139532,-8.32713891e-06
0.18222651,3.66546322e-05
0.182545202,-6.02643285e-06
0.18258733,-8.1450707e-06
0.182642597,-1.73913136e-05
0.182776868,-8.65118255e-06
0.182864285,-9.0568082e-06
0.18302796,-6.72111813e-06
0.18308704,-7.79221275e-06
0.183297947,-8.68629688e-06
0.183439213,-5.94351978e-06
0.183478733,-7.45502886e-06
0.183672192,-9.89976633e-06
0.183777481,3.87681789e-05
0.183871578,-6.32064667e-06
0.183964339,-9.07036282e-06
0.184181262,-8.98019272e-06
0.184268599,-8.30679589e-06
0.184269743,3.75074099e-05
0.184402129,-7.86829645e-06
0.184481906,-6.63681414e-06
0.184611611,-7.33255675e-06
0.184945064,3.71776236e-05
0.185333876,-8.62069018e-06
0.185844499,-6.22969838e-06
0.185845851,3.83758534e-05
0.186049293,-7.05681826e-06
0.186645581,3.86199827e-05
0.186850919,-8.70628965e-06
0.186986281,-8.05729713e-06
0.187169364,3.88194259e-05
0.187303669,-1.4468639e-05
0.187395758,-8.54695483e-06
0.187444887,-8.66532669e-06
0.187623001,-9.76648709e-06
0.187914116,-8.86865487e-06
0.187987965,-7.70811875e-06
0.188027454,2.87720538e-05
0.188287569,-8.33074101e-06
0.188337738,-6.49157591e-06
0.188703918,-6.66023277e-06
0.188909073,-8.80253834e-06
0.188952937,-7.65811357e-06
0.189008235,3.6006319e-05
0.189723739,-7.48146859e-06
0.189834853,3.93633698e-05
0.189953542,-8.31552227e-06
0.190110867,-1.76197706e-05
0.19026237,-8.11137972e-06
0.190504757,-8.4861154e-06
0.190742968,-6.68682334e-06
0.190819257,-8.96505748e-06
0.191024915,-9.61059981e-06
