Time (s),Mean Bit Life Time Per Packet
0.144114666,5.0648e-05
0.144152386,5.1368e-05
0.145068734,5.704e-06
0.145242264,5.1232e-05
0.145473883,4.9848e-05
0.146750043,4.9992e-05
0.146927109,5.1056e-05
0.147223577,5.252e-05
0.147632478,5.416e-06
0.147789776,4.9712e-05
0.147945666,6.6e-06
0.148175292,5.3224e-05
0.148219693,5.0624e-05
0.148595778,4.9704e-05
0.148690707,5.1632e-05
0.149377907,5.0824e-05
0.149458029,3.944e-06
0.1497304,5.1312e-05
0.149785713,5.1624e-05
0.150029796,4.9704e-05
0.150111453,5.336e-05
0.150163581,5.0488e-05
0.150586803,5.3704e-05
0.150623084,6.984e-06
0.151078161,5.2056e-05
0.151245523,1.441555e-05
0.151249451,5.4344e-05
0.151342036,4.9928e-05
0.151519862,5.2752e-05
0.151963556,5.144e-05
0.152033405,5.1288e-05
0.152064158,8.04e-06
0.152249279,5.116e-05
0.15248177,5.0648e-05
0.152531243,5.312e-05
0.152858319,5.0192e-05
0.152990593,5.1464e-05
0.153692665,5.0528e-05
0.153768394,5.0256e-05
0.154064878,5.1736e-05
0.15416503,5.4886852e-05
0.154196496,5.1352e-05
0.154399523,1.0376e-05
0.154482419,5.2272e-05
0.15483528,5.128e-06
0.155005154,5.1e-05
0.155096651,5.2496e-05
0.155285077,5.092e-05
0.155611938,4.776e-06
0.156059495,5.5328324e-05
0.156284306,5.3136e-05
0.156490876,4.9704e-05
0.156539109,8.936e-06
0.156626878,4.9704e-05
0.156982587,6.408e-06
0.157511753,5.0568e-05
0.157606082,6.4896e-05
0.157714012,5.0824e-05
0.157905302,5.1112e-05
0.158117097,4.9904e-05
0.158250914,4.972e-05
0.158383788,5.0592e-05
0.158474069,1.687155e-05
0.158475469,5.4272e-05
0.158578902,4.9704e-05
0.15916191,4.9704e-05
0.159511162,5.1952e-05
0.159582115,8.904e-06
0.159877007,5.1792e-05
0.159951855,5.364e-05
0.160003952,5.2736e-05
0.160327332,5.1112e-05
0.160926772,5.1544e-05
0.160978917,3.688e-06
0.161766206,5.0968e-05
0.162031225,5.0984e-05
0.162160251,5.2008e-05
0.162356805,5.156e-05
0.162598833,5.1584e-05
0.162840116,5.864e-06
0.163083567,5.1312e-05
0.16338737,1.01115e-05
0.163389466,5.2208e-05
0.163564949,5.1688e-05
0.163607829,5.0568e-05
0.163660966,4.9704e-05
0.16387036,5.1096e-05
0.163958369,5.1104e-05
0.164125772,6.504e-06
0.164272701,5.2432e-05
0.164525329,5.3056e-05
0.164731115,5.284e-05
0.164797556,5.228e-05
0.165014967,5.2688e-05
0.165231873,5.1592e-05
0.165272426,7.144e-06
0.165748448,5.116e-05
0.165844433,5.3144e-05
0.166103849,5.4556489e-05
0.166164365,5.3072e-05
0.166286631,7.336e-06
0.166409802,5.2506273e-05
0.166454297,5e-06
0.16681145,5.4149141e-05
0.167034768,5.3464e-05
0.167079008,4.9704e-05
0.167272603,4.296e-06
0.167629503,5.0192e-05
0.167860986,5.1672e-05
0.167976412,5.3096e-05
0.168065576,5.8259723e-05
0.168275823,5.3504e-05
0.168418802,5.48e-06
0.168589579,5.3256e-05
0.168770982,5.1656e-05
0.168993497,4.168e-06
0.169496063,5.1728e-05
0.169554322,5.8986465e-05
0.169712841,5.1504e-05
0.169865659,5.232e-05
0.169887708,1.1368e-05
0.17006275,5.2408e-05
0.170279024,5.368e-05
0.170774279,5.2928e-05
0.17087068,5.0328e-05
0.171053211,6.856e-06
0.171152555,5.02e-05
0.171299021,5.3664e-05
0.171392814,6.5456e-05
0.171447847,5.2488e-05
0.171600225,4.9864e-05
0.1718615,5.0136e-05
0.172066175,4.808e-06
0.172840136,5.276e-05
0.172928594,6.216e-06
0.173057019,5.064e-05
0.17345072,5.0336e-05
0.173520329,5.1944e-05
0.173606234,5.1848e-05
0.173680091,6.4704e-05
0.173709971,5.1584e-05
0.173786732,5.1344e-05
0.173878637,5.2248e-05
0.174145913,5.052e-05
0.174459085,5.3688e-05
0.174561931,6.5533175e-05
0.174698104,4.9704e-05
0.174849785,5.3384e-05
0.174863274,4.872e-06
0.175085004,5.06e-05
0.175374032,5.1624e-05
